"","ExplicitNYHAClass","variable","mean","sd","sem","n"
"121","I/II","DBP",72.6666666666667,7.93725393319377,2.64575131106459,9
"122","II","DBP",73.6538461538462,9.33356226825453,1.83046215912166,26
"123","II/III","DBP",74.5,11.7046999107196,5.85234995535981,4
"124","III","DBP",69.5454545454545,11.0214666570619,3.32309723098972,11
"126","I/II","HR",111.375,14.6768768573465,5.18905957623482,8
"127","II","HR",109.692307692308,18.2049866372249,3.57029161953484,26
"128","II/III","HR",95.75,29.9596951475367,14.9798475737683,4
"129","III","HR",95.6363636363636,19.3611607465706,5.83760960928471,11
"131","I/II","HR.1min",93.5,12.7615493909299,4.51188905638679,8
"132","II","HR.1min",90.28,14.6529860438069,2.93059720876138,25
"133","II/III","HR.1min",81.5,21.6410104508392,10.8205052254196,4
"134","III","HR.1min",82.8181818181818,12.2296212682011,3.68736955225212,11
"136","I/II","HR.1minDrop",17.875,9.18753036924038,3.24828251322361,8
"137","II","HR.1minDrop",23.4,15.1079449297381,3.02158898594763,25
"138","II/III","HR.1minDrop",10,7.54983443527075,4.35889894354067,3
"139","III","HR.1minDrop",12.8181818181818,8.71571203996761,2.62788605612324,11
"141","I/II","O2Sat",98.75,1.38873014965883,0.490990253030983,8
"142","II","O2Sat",98.12,1.39403491108843,0.278806982217686,25
"143","II/III","O2Sat",98.5,0.577350269189626,0.288675134594813,4
"144","III","O2Sat",98.1818181818182,1.60113596038449,0.482760656267336,11
"146","I/II","Duration",10.4574074074074,3.66480171427299,1.22160057142433,9
"147","II","Duration",9.95782051282052,2.79432900986706,0.548013005719636,26
"148","II/III","Duration",9.20000000000001,5.61471281545193,2.80735640772597,4
"149","III","Duration",7.71212121212122,2.29609681983593,0.692299239429457,11
"151","I/II","Watts",101.111111111111,38.2244831372657,12.7414943790886,9
"152","II","Watts",94.4,29.022979401387,5.8045958802774,25
"153","II/III","Watts",87.5,55.6027577253743,27.8013788626871,4
"154","III","Watts",73.6363636363636,23.3549683248457,7.0417879021953,11
"156","I/II","Watts.Predicted.Percentage",72.6666666666667,24.1867732448956,8.06225774829855,9
"157","II","Watts.Predicted.Percentage",59.92,20.2852984531491,4.05705969062982,25
"158","II/III","Watts.Predicted.Percentage",50.25,22.5591814272297,11.2795907136149,4
"159","III","Watts.Predicted.Percentage",47.1818181818182,11.7372755085512,3.53892172026293,11
"161","I/II","TestEnd.Reason",NA,NA,NA,0
"162","II","TestEnd.Reason",NA,NA,NA,0
"163","II/III","TestEnd.Reason",NA,NA,NA,0
"164","III","TestEnd.Reason",NA,NA,NA,0
"166","I/II","TestEnd.Symptom",NA,NA,NA,0
"167","II","TestEnd.Symptom",NA,NA,NA,0
"168","II/III","TestEnd.Symptom",NA,NA,NA,0
"169","III","TestEnd.Symptom",NA,NA,NA,0
"171","I/II","VO2.perBodyWeight",16.4666666666667,4.09511904588865,1.36503968196288,9
"172","II","VO2.perBodyWeight",14.3807692307692,3.28670281355272,0.644575453141756,26
"173","II/III","VO2.perBodyWeight",14.375,5.12209267129494,2.56104633564747,4
"174","III","VO2.perBodyWeight",12.3363636363636,2.98907100192442,0.901238816828635,11
"176","I/II","VO2.Predicted.Relative",30.2,5.64623768539724,1.88207922846575,9
"177","II","VO2.Predicted.Relative",29.2307692307692,5.63969993746258,1.10603615507422,26
"178","II/III","VO2.Predicted.Relative",31.175,3.97607427831356,1.98803713915678,4
"179","III","VO2.Predicted.Relative",28.8909090909091,5.59847381800693,1.68800336845068,11
"181","I/II","VO2.Predicted.Relative.Percentage",54,17.3637553541853,5.78791845139511,9
"182","II","VO2.Predicted.Relative.Percentage",50.5,13.2249763704893,2.59363125307417,26
"183","II/III","VO2.Predicted.Relative.Percentage",46.25,14.4077525427574,7.20387627137872,4
"184","III","VO2.Predicted.Relative.Percentage",42.9090909090909,8.11732154660077,2.44746453388565,11
"186","I/II","VO2",1.30111111111111,0.521438501753669,0.17381283391789,9
"187","II","VO2",1.26411538461538,0.409159756273569,0.0802428300544537,26
"188","II/III","VO2",1.30475,0.676553212984758,0.338276606492379,4
"189","III","VO2",1.14590909090909,0.375833062554495,0.113317932027585,11
"191","I/II","VO2.Predicted.Absolute",2.39488888888889,0.981021208288134,0.327007069429378,9
"192","II","VO2.Predicted.Absolute",2.32880769230769,0.556932456890835,0.109223440978444,26
"193","II/III","VO2.Predicted.Absolute",2.395,0.578406431499512,0.289203215749756,4
"194","III","VO2.Predicted.Absolute",2.32881818181818,0.61441546500423,0.185253232982797,11
"196","I/II","VO2.Predicted.Absolute.Percentage",63.1643592474263,18.2362555650477,6.0787518550159,9
"197","II","VO2.Predicted.Absolute.Percentage",55.8076923076923,16.6901629249549,3.27321024766876,26
"198","II/III","VO2.Predicted.Absolute.Percentage",53.25,18.5539753152795,9.27698765763974,4
"199","III","VO2.Predicted.Absolute.Percentage",49.4545454545455,8.91474774027439,2.68789757774171,11
"201","I/II","VE.Peak",48.675,20.0068381167183,7.07348545121649,8
"202","II","VE.Peak",45.4864,13.1992092187373,2.63984184374746,25
"203","II/III","VE.Peak",47.1,14.0173701765583,7.00868508827916,4
"204","III","VE.Peak",42.4545454545455,13.6789154275011,4.12434818291137,11
"206","I/II","VCO2.Peak",1.543,0.62671957730027,0.221578831505694,8
"207","II","VCO2.Peak",1.40638461538462,0.465413972882042,0.0912751896009337,26
"208","II/III","VCO2.Peak",1.39,0.824359549387685,0.412179774693842,4
"209","III","VCO2.Peak",1.14718181818182,0.40602729420122,0.122421835409881,11
"211","I/II","VEperVCO2.Peak",31.875,4.35685010726131,1.5403791277289,8
"212","II","VEperVCO2.Peak",33.3846153846154,6.4997041352783,1.27469685455245,26
"213","II/III","VEperVCO2.Peak",38.75,15.0194318578744,7.50971592893722,4
"214","III","VEperVCO2.Peak",37.5454545454545,6.05580112559249,1.82589273987293,11
"216","I/II","VEperVCO2.atAT",31.7142857142857,3.86066858261129,1.45919556628996,7
"217","II","VEperVCO2.atAT",32.9615384615385,4.7284734892417,0.927329945813445,26
"218","II/III","VEperVCO2.atAT",34.25,9.42956343987709,4.71478171993855,4
"219","III","VEperVCO2.atAT",38.7272727272727,5.83251076451487,1.75856816287316,11
"221","I/II","AT",11.2166666666667,2.60032049306747,1.06157639595295,6
"222","II","AT",9.58076923076923,2.52254145349792,0.494711080585869,26
"223","II/III","AT",9.15,2.39791576165636,1.19895788082818,4
"224","III","AT",8.1,1.38162545173751,0.436908330074958,10
"226","I/II","VO2.Peak.Measured.Percentage",61.3333333333333,6.88960569747403,2.81266974796387,6
"227","II","VO2.Peak.Measured.Percentage",66.1538461538462,7.01821805128514,1.37638579977508,26
"228","II/III","VO2.Peak.Measured.Percentage",65,6.68331255192114,3.34165627596057,4
"229","III","VO2.Peak.Measured.Percentage",64.4,6.83455273672763,2.16127534365964,10
"231","I/II","VO2.Peak.Predicted.Percentage",37.6666666666667,7.06163342766153,2.88289977472529,6
"232","II","VO2.Peak.Predicted.Percentage",33.6153846153846,9.78192996530612,1.91839429898823,26
"233","II/III","VO2.Peak.Predicted.Percentage",29.25,6.84957419601151,3.42478709800575,4
"234","III","VO2.Peak.Predicted.Percentage",28,4.76095228569523,1.50554530541816,10
"236","I/II","RER.Peak",1.1325,0.11132321026119,0.0393586984395717,8
"237","II","RER.Peak",1.11615384615385,0.0823687767580373,0.0161538461538462,26
"238","II/III","RER.Peak",1.05,0.128322510366134,0.0641612551830672,4
"239","III","RER.Peak",1.00290909090909,0.0826141084143072,0.0249090909090909,11
"241","I/II","RPEper20.Peak",18,NA,NA,1
"242","II","RPEper20.Peak",16.3333333333333,0.816496580927726,0.333333333333333,6
"243","II/III","RPEper20.Peak",17,NA,NA,1
"244","III","RPEper20.Peak",16,NA,NA,1
"246","I/II","PETCO2.Peak",NA,NA,NA,0
"247","II","PETCO2.Peak",32.5,1.91485421551268,0.957427107756338,4
"248","II/III","PETCO2.Peak",NA,NA,NA,0
"249","III","PETCO2.Peak",30,1.4142135623731,1,2
"251","I/II","OUES",NA,NA,NA,0
"252","II","OUES",1.22633333333333,0.251563775876682,0.145240413720761,3
"253","II/III","OUES",NA,NA,NA,0
"254","III","OUES",1.209,0.231931024229188,0.164,2
"256","I/II","TotalRiskScore",NA,NA,NA,0
"257","II","TotalRiskScore",8.33333333333333,2.88675134594813,1.66666666666667,3
"258","II/III","TotalRiskScore",NA,NA,NA,0
"259","III","TotalRiskScore",11.5,4.94974746830583,3.5,2
"261","I/II","StepData.LongestActiveStreak",43,24.0728062344214,8.02426874480715,9
"262","II","StepData.LongestActiveStreak",46.7692307692308,32.4657452615001,6.36705648506621,26
"263","II/III","StepData.LongestActiveStreak",25,9.83192080250175,4.91596040125088,4
"264","III","StepData.LongestActiveStreak",37.1818181818182,32.5785763403442,9.8228103568065,11
"266","I/II","StepData.HighestValuedStreak",3035.22222222222,2108.92862478663,702.976208262211,9
"267","II","StepData.HighestValuedStreak",3244.61538461538,2296.16276560566,450.314567238787,26
"268","II/III","StepData.HighestValuedStreak",1044.25,260.078673994364,130.039336997182,4
"269","III","StepData.HighestValuedStreak",2098,2278.41910104353,686.969206667294,11
"271","I/II","StepData.OverallMaximum",126.333333333333,18.6480561989715,6.21601873299051,9
"272","II","StepData.OverallMaximum",125.538461538462,18.3198925089221,3.59282651499678,26
"273","II/III","StepData.OverallMaximum",112.75,9.21502396451939,4.6075119822597,4
"274","III","StepData.OverallMaximum",112.909090909091,15.4107400565615,4.64651295539226,11
"276","I/II","StepData.OverallQ3",0,0,0,9
"277","II","StepData.OverallQ3",0,0,0,26
"278","II/III","StepData.OverallQ3",0,0,0,4
"279","III","StepData.OverallQ3",0,0,0,11
"281","I/II","StepData.OverallMean",3.84865396757712,1.61692065892175,0.538973552973917,9
"282","II","StepData.OverallMean",3.79431994460981,1.54695845223107,0.303383512870905,26
"283","II/III","StepData.OverallMean",3.12452813156512,1.68617751195596,0.843088755977982,4
"284","III","StepData.OverallMean",2.66310924090529,1.60354531212855,0.48348710315125,11
"286","I/II","StepData.OverallStdDev",12.8954240797763,4.17288644072964,1.39096214690988,9
"287","II","StepData.OverallStdDev",13.087504512972,3.33924368433205,0.654879565655791,26
"288","II/III","StepData.OverallStdDev",10.5135335713924,3.05403806749857,1.52701903374929,4
"289","III","StepData.OverallStdDev",9.98900487593237,3.95270653150261,1.19178586103466,11
"291","I/II","StepData.OverallMedian",0,0,0,9
"292","II","StepData.OverallMedian",0,0,0,26
"293","II/III","StepData.OverallMedian",0,0,0,4
"294","III","StepData.OverallMedian",0,0,0,11
"296","I/II","StepData.OverallMode",0,0,0,9
"297","II","StepData.OverallMode",0,0,0,26
"298","II/III","StepData.OverallMode",0,0,0,4
"299","III","StepData.OverallMode",0,0,0,11
"301","I/II","StepData.OverallQ1",0,0,0,9
"302","II","StepData.OverallQ1",0,0,0,26
"303","II/III","StepData.OverallQ1",0,0,0,4
"304","III","StepData.OverallQ1",0,0,0,11
"306","I/II","StepData.OverallMinimum",0,0,0,9
"307","II","StepData.OverallMinimum",0,0,0,26
"308","II/III","StepData.OverallMinimum",0,0,0,4
"309","III","StepData.OverallMinimum",0,0,0,11
"311","I/II","StepData.OverallTotal",81893.6666666667,31110.4253546942,10370.1417848981,9
"312","II","StepData.OverallTotal",85124,30413.1967777148,5964.51860924249,26
"313","II/III","StepData.OverallTotal",69527.25,42046.577889883,21023.2889449415,4
"314","III","StepData.OverallTotal",58733.3636363636,32214.3141267131,9712.9811669957,11
"316","I/II","StepData.Overalln",21920,2363.72587243106,787.908624143688,9
"317","II","StepData.Overalln",23483.0769230769,5066.9870883836,993.717924568872,26
"318","II/III","StepData.Overalln",21960,2160,1080,4
"319","III","StepData.Overalln",23040,3088.45592489192,931.204498583323,11
"321","I/II","StepData.OverallSkewness",5.13581650276418,1.68660756133096,0.562202520443653,9
"322","II","StepData.OverallSkewness",5.20174508237356,1.47312700501344,0.288903974790924,26
"323","II/III","StepData.OverallSkewness",5.29303110790712,1.76541448117262,0.882707240586309,4
"324","III","StepData.OverallSkewness",6.49645808130482,2.97400702012449,0.896696855421443,11
"326","I/II","StepData.OverallKurtosis",35.3220309080324,30.0317368747683,10.0105789582561,9
"327","II","StepData.OverallKurtosis",33.443743430822,21.6336832920519,4.24271435604073,26
"328","II/III","StepData.OverallKurtosis",36.7155518842563,24.0872529204158,12.0436264602079,4
"329","III","StepData.OverallKurtosis",61.4194419703875,62.113248582974,18.7278490963454,11
"331","I/II","StepData.MeanDailyTotalSteps",5437.89187204122,2257.50196037558,752.500653458526,9
"332","II","StepData.MeanDailyTotalSteps",5423.70688011368,2210.25053333285,433.465792284348,26
"333","II/III","StepData.MeanDailyTotalSteps",4469.76995798319,2468.87579870938,1234.43789935469,4
"334","III","StepData.MeanDailyTotalSteps",3799.05089997722,2276.49329307226,686.388553716479,11
"336","I/II","StepData.StdDevDailyTotalSteps",2153.4007063766,948.020451822045,316.006817274015,9
"337","II","StepData.StdDevDailyTotalSteps",2898.40870789742,1293.17326046116,253.612141905686,26
"338","II/III","StepData.StdDevDailyTotalSteps",2464.30745984314,1194.44514811044,597.222574055222,4
"339","III","StepData.StdDevDailyTotalSteps",1798.92373985647,1102.79904946808,332.5064242042,11
"341","I/II","StepData.MeanDailyMeanSteps",3.81178973490069,1.59008274528206,0.530027581760688,9
"342","II","StepData.MeanDailyMeanSteps",3.772906762322,1.53896315907106,0.301815506877067,26
"343","II/III","StepData.MeanDailyMeanSteps",3.10510630429708,1.7129668493917,0.856483424695851,4
"344","III","StepData.MeanDailyMeanSteps",2.64020186748161,1.58254808700092,0.477156201570615,11
"346","I/II","StepData.StdDevDailyMeanSteps",1.42658928449025,0.625960060089396,0.208653353363132,9
"347","II","StepData.StdDevDailyMeanSteps",2.00344716188674,0.898502894484611,0.176210915076793,26
"348","II/III","StepData.StdDevDailyMeanSteps",1.71187331140824,0.828794465879427,0.414397232939713,4
"349","III","StepData.StdDevDailyMeanSteps",1.24849047499753,0.765601104630277,0.230837418467296,11
"351","I/II","StepData.ModeDailyModeSteps",0,0,0,9
"352","II","StepData.ModeDailyModeSteps",0,0,0,26
"353","II/III","StepData.ModeDailyModeSteps",0,0,0,4
"354","III","StepData.ModeDailyModeSteps",0,0,0,11
"356","I/II","StepData.MeanDailyMinSteps",0,0,0,9
"357","II","StepData.MeanDailyMinSteps",0,0,0,26
"358","II/III","StepData.MeanDailyMinSteps",0,0,0,4
"359","III","StepData.MeanDailyMinSteps",0,0,0,11
"361","I/II","StepData.MeanDailyMaxSteps",95.9785644667224,16.3673645318489,5.45578817728295,9
"362","II","StepData.MeanDailyMaxSteps",94.5263717846421,18.0854216385548,3.54684299409785,26
"363","II/III","StepData.MeanDailyMaxSteps",79.3161764705882,17.5495080785589,8.77475403927943,4
"364","III","StepData.MeanDailyMaxSteps",80.1422581073897,22.9143125476931,6.90892518633007,11
"366","I/II","StepData.ModeDailyMinSteps",0,0,0,9
"367","II","StepData.ModeDailyMinSteps",0,0,0,26
"368","II/III","StepData.ModeDailyMinSteps",0,0,0,4
"369","III","StepData.ModeDailyMinSteps",0,0,0,11
"371","I/II","StepData.ModeDailyMaxSteps",101.666666666667,21.5812418549072,7.19374728496908,9
"372","II","StepData.ModeDailyMaxSteps",89.0769230769231,45.7216999482067,8.96676308579001,26
"373","II/III","StepData.ModeDailyMaxSteps",77.75,52.0024037905941,26.0012018952971,4
"374","III","StepData.ModeDailyMaxSteps",65,42.2279528274815,12.7322068357803,11
"376","I/II","StepData.MaxDailyMaxSteps",126.333333333333,18.6480561989715,6.21601873299051,9
"377","II","StepData.MaxDailyMaxSteps",125.538461538462,18.3198925089221,3.59282651499678,26
"378","II/III","StepData.MaxDailyMaxSteps",112.75,9.21502396451939,4.6075119822597,4
"379","III","StepData.MaxDailyMaxSteps",112.909090909091,15.4107400565615,4.64651295539226,11
"381","I/II","StepData.StdDevDailyMaxSteps",21.8580531710568,8.03818750651578,2.67939583550526,9
"382","II","StepData.StdDevDailyMaxSteps",27.0361366621099,13.2711328222386,2.60268327800294,26
"383","II/III","StepData.StdDevDailyMaxSteps",29.6524042252033,12.1887158354298,6.09435791771492,4
"384","III","StepData.StdDevDailyMaxSteps",22.7191210066491,9.97041626165431,3.00619361305139,11
"386","I/II","StepData.MeanDailyStdDevSteps",12.1460620752002,4.04084680365502,1.34694893455167,9
"387","II","StepData.MeanDailyStdDevSteps",11.806002754637,3.45107237670752,0.676810976602025,26
"388","II/III","StepData.MeanDailyStdDevSteps",9.35698851078976,3.31667486099428,1.65833743049714,4
"389","III","StepData.MeanDailyStdDevSteps",9.16475615652879,4.09650665010713,1.23514322814555,11
"391","I/II","StepData.MeanDailySkewness",5.16526540338346,1.44478421683249,0.481594738944163,9
"392","II","StepData.MeanDailySkewness",5.62844419549931,1.68516870612712,0.330488773701465,26
"393","II/III","StepData.MeanDailySkewness",6.36824333723663,2.35527335805478,1.17763667902739,4
"394","III","StepData.MeanDailySkewness",6.13144244408464,1.89257713949356,0.57063347804584,11
"396","I/II","StepData.MeanDailyKurtosis",44.9183918035514,35.0081274819958,11.6693758273319,9
"397","II","StepData.MeanDailyKurtosis",54.7874385885316,42.145942106587,8.2654992777015,26
"398","II/III","StepData.MeanDailyKurtosis",90.0614923496611,77.2940599728517,38.6470299864259,4
"399","III","StepData.MeanDailyKurtosis",56.6702225851171,33.4709901674257,10.0918832497296,11
"401","I/II","StepData.TotalActiveMinutes_Pure",2932.33333333333,752.04537762026,250.681792540087,9
"402","II","StepData.TotalActiveMinutes_Pure",2985.07692307692,944.257715799111,185.184173796931,26
"403","II/III","StepData.TotalActiveMinutes_Pure",2797,1533.54773863309,766.773869316545,4
"404","III","StepData.TotalActiveMinutes_Pure",2308.72727272727,955.053201754655,287.959375004344,11
"406","I/II","StepData.MeanActiveMinutes_Pure",193.015357839042,55.5706145572644,18.5235381857548,9
"407","II","StepData.MeanActiveMinutes_Pure",190.29020721303,68.4838155382062,13.4307812228693,26
"408","II/III","StepData.MeanActiveMinutes_Pure",179.513655462185,87.8249545097638,43.9124772548819,4
"409","III","StepData.MeanActiveMinutes_Pure",148.427560378218,68.843347550519,20.7570502851913,11
"411","I/II","StepData.StdDevActiveMinutes_Pure",62.9210093360295,29.3967671228261,9.79892237427537,9
"412","II","StepData.StdDevActiveMinutes_Pure",83.8381588456885,34.214713849235,6.71005744497087,26
"413","II/III","StepData.StdDevActiveMinutes_Pure",93.7579247755916,46.1165669628383,23.0582834814192,4
"414","III","StepData.StdDevActiveMinutes_Pure",58.5453039663978,25.8777467273516,7.80243421040661,11
"416","I/II","StepData.ModeActiveMinutes_Pure",198.444444444444,96.5545326630385,32.1848442210128,9
"417","II","StepData.ModeActiveMinutes_Pure",149.192307692308,127.631976943325,25.0306900381708,26
"418","II/III","StepData.ModeActiveMinutes_Pure",125.5,150.858653491715,75.4293267458575,4
"419","III","StepData.ModeActiveMinutes_Pure",115.909090909091,107.632202008,32.4523299472975,11
"421","I/II","StepData.MaxActiveMinutes_Pure",284.444444444444,77.6693490237801,25.8897830079267,9
"422","II","StepData.MaxActiveMinutes_Pure",313.730769230769,93.7731550892078,18.390428755809,26
"423","II/III","StepData.MaxActiveMinutes_Pure",329.5,137.25523669427,68.6276183471349,4
"424","III","StepData.MaxActiveMinutes_Pure",246.272727272727,93.887263150111,28.3080749511163,11
"426","I/II","StepData.TotalActiveMinutes_PosMET",826.888888888889,586.35557566302,195.45185855434,9
"427","II","StepData.TotalActiveMinutes_PosMET",753.153846153846,501.028437700512,98.2597607961468,26
"428","II/III","StepData.TotalActiveMinutes_PosMET",477.5,343.8512275195,171.92561375975,4
"429","III","StepData.TotalActiveMinutes_PosMET",448.545454545455,339.019280760361,102.218159179843,11
"431","I/II","StepData.MeanActiveMinutes_PosMET",56.1955026455026,42.9707217493501,14.32357391645,9
"432","II","StepData.MeanActiveMinutes_PosMET",47.8870712416298,34.3303065887994,6.73272704630428,26
"433","II/III","StepData.MeanActiveMinutes_PosMET",30.6754201680672,20.6520657393926,10.3260328696963,4
"434","III","StepData.MeanActiveMinutes_PosMET",28.7219564061669,22.1129638829105,6.66730947293587,11
"436","I/II","StepData.StdDevActiveMinutes_PosMET",24.9602054518296,13.7428957280719,4.58096524269064,9
"437","II","StepData.StdDevActiveMinutes_PosMET",30.2285188111032,17.1679139534911,3.36690493294357,26
"438","II/III","StepData.StdDevActiveMinutes_PosMET",19.32723140767,8.79922830395051,4.39961415197526,4
"439","III","StepData.StdDevActiveMinutes_PosMET",17.6443419011848,13.5250020586711,4.07794155612696,11
"441","I/II","StepData.ModeActiveMinutes_PosMET",42.1111111111111,40.2164283733788,13.4054761244596,9
"442","II","StepData.ModeActiveMinutes_PosMET",34.1923076923077,45.7261581423756,8.9676374096001,26
"443","II/III","StepData.ModeActiveMinutes_PosMET",4.75,9.5,4.75,4
"444","III","StepData.ModeActiveMinutes_PosMET",25.7272727272727,20.4992239320951,6.18074857056667,11
"446","I/II","StepData.MaxActiveMinutes_PosMET",104,65.2839949757979,21.7613316585993,9
"447","II","StepData.MaxActiveMinutes_PosMET",109.5,62.2184859989376,12.2020490082609,26
"448","II/III","StepData.MaxActiveMinutes_PosMET",72.75,33.5695794830181,16.784789741509,4
"449","III","StepData.MaxActiveMinutes_PosMET",64.9090909090909,50.7157856006481,15.291384707769,11
"451","I/II","StepData.TotalMETClass.BelowMin",21093.1111111111,2768.12804275942,922.709347586474,9
"452","II","StepData.TotalMETClass.BelowMin",22729.9230769231,5142.95975425106,1008.61739017494,26
